timestamp,elapsed_s,plc,sensor,alert_type,z_score,rolling_var,baseline_var,confidence
1663326878.0,0.368341,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326878.0,0.368341,PLC1,tank_level_value(2),cross_layer,,2.963e-05,1.677247,high
1663326878.0,0.368341,PLC1,tank_level_min(3),cross_layer,,0.0,1.040437,high
1663326878.0,0.368341,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663326878.0,0.368341,PLC1,tank_output_valve_status(5),cross_layer,,0.0,0.206289,high
1663326883.0,5.369566,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326883.0,5.369566,PLC1,tank_level_value(2),cross_layer,,0.002907185,1.677247,high
1663326883.0,5.369566,PLC1,tank_level_min(3),cross_layer,,0.0,1.040437,high
1663326883.0,5.369566,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663326883.0,5.369566,PLC1,tank_output_valve_status(5),cross_layer,,0.0,0.206289,high
1663326888.0,10.38569,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326888.0,10.38569,PLC1,tank_level_value(2),cross_layer,,0.010332455,1.677247,medium
1663326888.0,10.38569,PLC1,tank_level_min(3),cross_layer,,0.0,1.040437,high
1663326888.0,10.38569,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663326888.0,10.38569,PLC1,tank_output_valve_status(5),cross_layer,,0.0,0.206289,high
1663326893.0,15.56317,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326893.0,15.56317,PLC1,tank_level_value(2),cross_layer,,0.024492489,1.677247,medium
1663326893.0,15.56317,PLC1,tank_level_min(3),cross_layer,,0.0,1.040437,high
1663326893.0,15.56317,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663326898.0,20.807707,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326898.0,20.807707,PLC1,tank_level_value(2),cross_layer,,0.060817381,1.677247,medium
1663326898.0,20.807707,PLC1,tank_level_min(3),cross_layer,,0.0,1.040437,high
1663326898.0,20.807707,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663326903.0,25.963502,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326903.0,25.963502,PLC1,tank_level_min(3),cross_layer,,0.004105418,1.040437,high
1663326903.0,25.963502,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663326908.0,30.982706,PLC1,tank_level_min(3),cross_layer,,0.010132552,1.040437,medium
1663326908.0,30.982706,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663326913.0,35.982738,PLC1,tank_level_min(3),cross_layer,,0.012903102,1.040437,medium
1663326913.0,35.982738,PLC1,tank_level_max(4),cross_layer,,0.015049052,0.874704,medium
1663326918.0,40.99875,PLC1,tank_level_min(3),cross_layer,,0.014111868,1.040437,medium
1663326923.0,46.171164,PLC1,tank_level_min(3),cross_layer,,0.014529378,1.040437,medium
1663326928.0,51.18401,PLC1,tank_level_min(3),cross_layer,,0.014506835,1.040437,medium
1663326934.0,56.420398,PLC1,tank_level_min(3),cross_layer,,0.014250896,1.040437,medium
1663326939.0,61.561626,PLC1,tank_level_min(3),cross_layer,,0.013652681,1.040437,medium
1663326941.0,63.431306,PLC1,tank_level_value(2),cross_layer,,0.08292249,1.677247,medium
1663326944.0,66.587597,PLC1,tank_level_min(3),cross_layer,,0.01198867,1.040437,medium
1663326946.0,68.575983,PLC1,tank_level_value(2),cross_layer,,0.068597851,1.677247,medium
1663326949.0,71.801076,PLC1,tank_level_min(3),cross_layer,,0.009455382,1.040437,medium
1663326951.0,73.597568,PLC1,tank_level_value(2),cross_layer,,0.079860257,1.677247,medium
1663326954.0,76.80784,PLC1,tank_level_min(3),cross_layer,,0.006166383,1.040437,medium
1663326959.0,81.972612,PLC1,tank_level_min(3),cross_layer,,0.002056661,1.040437,high
1663326966.0,88.979205,PLC1,tank_input_valve_status(0),cross_layer,,0.009932775,0.227164,medium
1663326971.0,94.17343,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326976.0,99.179805,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326981.0,104.18417,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326986.0,109.188083,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326991.0,113.397097,PLC1,tank_level_max(4),cross_layer,,0.043420508,0.874704,medium
1663326992.0,114.404579,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663326996.0,118.574143,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663326997.0,119.568209,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663327002.0,124.765039,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663327007.0,129.766962,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663327012.0,134.780473,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663327017.0,139.792086,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663327022.0,144.983608,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663327027.0,150.184684,PLC1,tank_input_valve_status(0),cross_layer,,0.0,0.227164,high
1663327048.0,170.401788,PLC1,tank_level_value(2),cross_layer,,0.082578704,1.677247,medium
1663327053.0,175.589112,PLC1,tank_level_value(2),cross_layer,,0.071333453,1.677247,medium
1663327056.0,178.783387,PLC1,tank_level_max(4),cross_layer,,0.042359963,0.874704,medium
1663327061.0,183.986348,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663327066.0,188.998442,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663327071.0,194.173657,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663327076.0,199.204766,PLC1,tank_level_max(4),cross_layer,,0.0,0.874704,high
1663327082.0,204.366167,PLC1,tank_level_max(4),cross_layer,,0.011433294,0.874704,medium
1663327087.0,209.408321,PLC1,tank_level_max(4),cross_layer,,0.02583233,0.874704,medium
